id,timestamp,score
ejngx1,1578092917,1
ejngzp,1578092925,1
ejnh1r,1578092932,7
ejnh78,1578092950,1
ejnhd8,1578092971,2
ejnhdi,1578092971,3
ejnhw8,1578093027,7
ejni1n,1578093047,3
ejni8s,1578093072,8
ejnicm,1578093084,16
ejnjik,1578093223,2
ejnll8,1578093473,1
ejnlrd,1578093494,1
ejnm46,1578093539,4
ejnn7i,1578093680,1
ejno82,1578093805,0
ejnokv,1578093852,4
ejnp9b,1578093934,3
ejnpxa,1578094019,1
ejnq6f,1578094052,2
ejnqfd,1578094084,1
ejnqib,1578094093,13
ejnqox,1578094117,1
ejnr3e,1578094164,3
ejnryj,1578094272,16
ejnslb,1578094344,9
ejnsuf,1578094376,11
ejntey,1578094446,0
ejntn6,1578094473,3
ejnttg,1578094497,0
ejnuu8,1578094616,93
ejnvfk,1578094687,10
ejnvr2,1578094729,1
ejnw3o,1578094771,1
ejnwa7,1578094794,5
ejnwiz,1578094822,9
ejnwm1,1578094831,1
ejnwry,1578094852,2
ejnwuv,1578094863,2
ejnx11,1578094884,2
ejnx6k,1578094903,2
ejnxfn,1578094932,2
ejnyl0,1578095061,26
ejnz1x,1578095119,2
ejnz4m,1578095129,1
ejnz8s,1578095142,1
ejnzdp,1578095162,0
ejnzf2,1578095166,1
ejo195,1578095385,2
ejo1hx,1578095417,1
ejo1iy,1578095421,1
ejo1ws,1578095469,1
ejo284,1578095509,6
ejo2bm,1578095521,1
ejo2xm,1578095595,1
ejo396,1578095633,1
ejo3ec,1578095654,1
ejo3y1,1578095714,152
ejo420,1578095726,1
ejo4i4,1578095780,0
ejo5l8,1578095892,0
ejo71m,1578096057,2
ejo724,1578096058,1
ejo75e,1578096072,37
ejo7qi,1578096146,1
ejo8qq,1578096267,0
ejo8u2,1578096280,1
ejo9b6,1578096345,3
ejoa2j,1578096441,1
ejob0k,1578096562,1
ejoc7g,1578096709,3
ejod8q,1578096831,3
ejoe5y,1578096947,1
ejof0k,1578097047,1
ejofrb,1578097129,1
ejofzy,1578097157,1
ejoh57,1578097291,1
ejohi4,1578097332,0
ejoiua,1578097495,3
ejojcx,1578097557,0
ejojem,1578097562,4
ejokpi,1578097720,5
ejolbq,1578097791,1
ejolfj,1578097804,3
ejomyb,1578097985,11
ejonxn,1578098105,2
ejonxu,1578098106,4
ejop23,1578098234,7
ejopmz,1578098305,2324
ejopxq,1578098342,1
ejoqwc,1578098449,0
ejordk,1578098505,1
ejos3l,1578098590,8
ejotto,1578098793,0
ejoun4,1578098898,2
ejovab,1578098978,2
ejovxz,1578099062,0
ejovy7,1578099062,17
ejow29,1578099075,1
ejow2s,1578099077,4
ejow91,1578099098,1
ejowqj,1578099162,10
ejowxt,1578099190,9
ejowz2,1578099194,1
ejox2i,1578099207,6
ejox3w,1578099211,0
ejox9k,1578099236,9
ejoxgq,1578099263,41
ejoxun,1578099320,0
ejoy9v,1578099373,2
ejoyj1,1578099410,1
ejoykq,1578099415,4
ejoytf,1578099445,2
ejoyvq,1578099455,10
ejp033,1578099613,0
ejp0bv,1578099656,1
ejp0wm,1578099735,4
ejp0yc,1578099742,0
ejp199,1578099784,1
ejp1e0,1578099803,1
ejp38u,1578100035,2
ejp43y,1578100147,4
ejp50p,1578100257,1
ejp6mu,1578100462,3
ejp6ux,1578100493,1
ejp799,1578100548,87
ejp9h0,1578100809,0
ejp9sy,1578100850,544
ejp9yu,1578100870,5
ejpar5,1578100979,61
ejpbj3,1578101081,370
ejpby6,1578101133,3
ejpcjr,1578101209,2
ejpcsx,1578101242,1
ejpd5j,1578101287,1
ejpeo2,1578101489,1
ejperu,1578101502,10
ejpetf,1578101508,46
ejpgkz,1578101734,4
ejphhn,1578101846,4
ejphya,1578101907,1
ejpiw3,1578102026,5
ejpkli,1578102239,1
ejpm2o,1578102418,1
ejpmnc,1578102488,1
ejpmzl,1578102533,1
ejpnnp,1578102617,0
ejpo1d,1578102664,5
ejpohr,1578102716,1
ejppdn,1578102832,1
ejpphe,1578102845,12
ejppys,1578102910,6
ejpqbq,1578102954,2
ejpr7a,1578103067,0
ejpr85,1578103071,0
ejprkw,1578103117,1
ejprtv,1578103149,1
ejpsz5,1578103294,0
ejpt8q,1578103332,1
ejptcu,1578103344,1
ejptdb,1578103345,0
ejptfl,1578103352,0
ejpveb,1578103597,0
ejpvty,1578103653,7
ejpvzt,1578103673,1
ejpw1p,1578103681,1
ejpxgf,1578103857,3
ejpxob,1578103884,2
ejpxrc,1578103896,1
ejpz10,1578104057,1
ejpz2a,1578104061,7
ejpz4v,1578104068,3
ejpzg2,1578104107,2
ejpzys,1578104174,2
ejq0p2,1578104265,733
ejq0ta,1578104280,0
ejq3ei,1578104613,1
ejq3jv,1578104635,1
ejq3pq,1578104654,1
ejq3qp,1578104658,1
ejq5hs,1578104879,1
ejq5l9,1578104893,0
ejq5p8,1578104909,1
ejq7k2,1578105146,8
ejq8kr,1578105276,1
ejqaaj,1578105475,0
ejqaex,1578105491,1
ejqaii,1578105503,8
ejqal2,1578105513,3
ejqb85,1578105600,6
ejqb8s,1578105602,0
ejqbb8,1578105611,1
ejqbuj,1578105683,7
ejqc5w,1578105722,13
ejqd3x,1578105855,1
ejqeds,1578106026,1
ejqege,1578106035,1
ejqfe0,1578106157,0
ejqfpy,1578106201,1
ejqg27,1578106249,4
ejqh4b,1578106388,3
ejqh78,1578106397,1
ejqhkf,1578106445,0
ejqhoo,1578106461,1
ejqhyj,1578106494,3
ejqhzb,1578106497,0
